المواطنة,المؤشر,الدولة,الجنس,Year,Value,Source,المرحلة التعليمية,القطاع
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2021,,,إبتدائي,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2021,,,إعدادي,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2021,,,إعدادي,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2021,,,إعدادي,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2021,,,ثانوي\مهني,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2021,,,ثانوي\مهني,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2021,,,ثانوي\مهني,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2021,,,جامعي\مهني,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2021,,,جامعي\مهني,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2021,,,جامعي\مهني,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2021,,,جميع المراحل التعليمية,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2021,,,جميع المراحل التعليمية,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2021,,,جميع المراحل التعليمية,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2022,,,إبتدائي,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2022,,,إبتدائي,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2022,,,إبتدائي,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2022,,,إعدادي,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2022,,,إعدادي,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2022,,,إعدادي,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2022,,,ثانوي\مهني,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2022,,,ثانوي\مهني,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2022,,,ثانوي\مهني,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2022,,,جامعي\مهني,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2022,,,جامعي\مهني,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2022,,,جامعي\مهني,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2022,,,جميع المراحل التعليمية,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2022,,,جميع المراحل التعليمية,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2022,,,جميع المراحل التعليمية,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2023,,,إبتدائي,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2023,,,إبتدائي,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2023,,,إبتدائي,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2023,,,إعدادي,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2023,,,إعدادي,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2023,,,إعدادي,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2023,,,ثانوي\مهني,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2023,,,ثانوي\مهني,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2023,,,ثانوي\مهني,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2023,,,جامعي\مهني,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2023,,,جامعي\مهني,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2023,,,جامعي\مهني,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2023,,,جميع المراحل التعليمية,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2023,,,جميع المراحل التعليمية,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2023,,,جميع المراحل التعليمية,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2024,,,إبتدائي,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2024,,,إبتدائي,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2024,,,إبتدائي,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2024,,,إعدادي,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2024,,,إعدادي,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2024,,,إعدادي,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2024,,,ثانوي\مهني,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2024,,,ثانوي\مهني,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2024,,,ثانوي\مهني,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2024,,,جامعي\مهني,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2024,,,جامعي\مهني,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2024,,,جامعي\مهني,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2024,,,جميع المراحل التعليمية,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2024,,,جميع المراحل التعليمية,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2024,,,جميع المراحل التعليمية,عام
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2010,4,d,إبتدائي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2010,4,d,إبتدائي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2010,4,d,إبتدائي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2010,4,d,إعدادي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2010,4,d,إعدادي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2010,4,d,إعدادي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2010,4,d,ثانوي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2010,4,d,ثانوي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2010,4,d,ثانوي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2010,4,d,جامعي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2010,4,d,جامعي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2010,4,d,جامعي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2010,4,d,جميع المراحل التعليمية,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2010,4,d,جميع المراحل التعليمية,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2010,4,d,جميع المراحل التعليمية,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2011,,,إبتدائي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2011,,,إبتدائي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2011,,,إبتدائي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2011,,,إعدادي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2011,,,إعدادي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2011,,,إعدادي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2011,,,ثانوي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2011,,,ثانوي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2011,,,ثانوي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2011,,,جامعي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2011,,,جامعي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2011,,,جامعي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2011,,,جميع المراحل التعليمية,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2011,,,جميع المراحل التعليمية,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2011,,,جميع المراحل التعليمية,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2012,,,إبتدائي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2012,,,إبتدائي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2012,,,إبتدائي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2012,,,إعدادي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2012,,,إعدادي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2012,,,إعدادي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2012,,,ثانوي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2012,,,ثانوي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2012,,,ثانوي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2012,,,جامعي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2012,,,جامعي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2012,,,جامعي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2012,,,جميع المراحل التعليمية,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2012,,,جميع المراحل التعليمية,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2012,,,جميع المراحل التعليمية,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2013,,,إبتدائي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2013,,,إبتدائي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2013,,,إبتدائي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2013,,,إعدادي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2013,,,إعدادي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2013,,,إعدادي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2013,,,ثانوي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2013,,,ثانوي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2013,,,ثانوي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2013,,,جامعي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2013,,,جامعي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2013,,,جامعي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2013,,,جميع المراحل التعليمية,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2013,,,جميع المراحل التعليمية,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2013,,,جميع المراحل التعليمية,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2014,,,إبتدائي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2014,,,إبتدائي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2014,,,إبتدائي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2014,,,إعدادي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2014,,,إعدادي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2014,,,إعدادي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2014,,,ثانوي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2014,,,ثانوي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2014,,,ثانوي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2014,,,جامعي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2014,,,جامعي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2014,,,جامعي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2014,,,جميع المراحل التعليمية,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2014,,,جميع المراحل التعليمية,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2014,,,جميع المراحل التعليمية,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2015,,,إبتدائي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2015,,,إبتدائي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2015,,,إبتدائي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2015,,,إعدادي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2015,,,إعدادي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2015,,,إعدادي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2015,,,ثانوي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2015,,,ثانوي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2015,,,ثانوي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2015,,,جامعي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2015,,,جامعي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2015,,,جامعي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2015,,,جميع المراحل التعليمية,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2015,,,جميع المراحل التعليمية,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2015,,,جميع المراحل التعليمية,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2016,,,إبتدائي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2016,,,إبتدائي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2016,,,إبتدائي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2016,,,إعدادي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2016,,,إعدادي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2016,,,إعدادي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2016,,,ثانوي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2016,,,ثانوي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2016,,,ثانوي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2016,,,جامعي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2016,,,جامعي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2016,,,جامعي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2016,,,جميع المراحل التعليمية,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2016,,,جميع المراحل التعليمية,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2016,,,جميع المراحل التعليمية,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2017,,,إبتدائي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2017,,,إبتدائي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2017,,,إبتدائي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2017,,,إعدادي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2017,,,إعدادي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2017,,,إعدادي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2017,,,ثانوي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2017,,,ثانوي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2017,,,ثانوي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2017,,,جامعي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2017,,,جامعي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2017,,,جامعي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2017,,,جميع المراحل التعليمية,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2017,,,جميع المراحل التعليمية,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2017,,,جميع المراحل التعليمية,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2018,,,إبتدائي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2018,,,إبتدائي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2018,,,إبتدائي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2018,,,إعدادي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2018,,,إعدادي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2018,,,إعدادي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2018,,,ثانوي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2018,,,ثانوي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2018,,,ثانوي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2018,,,جامعي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2018,,,جامعي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2018,,,جامعي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2018,,,جميع المراحل التعليمية,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2018,,,جميع المراحل التعليمية,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2018,,,جميع المراحل التعليمية,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2019,,,إبتدائي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2019,,,إبتدائي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2019,,,إبتدائي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2019,,,إعدادي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2019,,,إعدادي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2019,,,إعدادي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2019,,,ثانوي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2019,,,ثانوي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2019,,,ثانوي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2019,,,جامعي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2019,,,جامعي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2019,,,جامعي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2019,,,جميع المراحل التعليمية,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2019,,,جميع المراحل التعليمية,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2019,,,جميع المراحل التعليمية,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2020,,,إبتدائي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2020,,,إبتدائي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2020,,,إبتدائي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2020,,,إعدادي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2020,,,إعدادي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2020,,,إعدادي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2020,,,ثانوي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2020,,,ثانوي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2020,,,ثانوي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2020,,,جامعي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2020,,,جامعي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2020,,,جامعي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2020,,,جميع المراحل التعليمية,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2020,,,جميع المراحل التعليمية,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2020,,,جميع المراحل التعليمية,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2021,,,إبتدائي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2021,,,إبتدائي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2021,,,إبتدائي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2021,,,إعدادي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2021,,,إعدادي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2021,,,إعدادي,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2021,,,ثانوي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2021,,,ثانوي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2021,,,ثانوي\مهني,خاص
,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2021,,,جامعي\مهني,خاص
